ID,LEXEME - curly ’unuhw,LEXEME - straight 'unuhw,ROOT,PARSE,DEFINITION,NOTE
5114,wuw’tth’uy’lh,wuw'tth'uy'lh,√wetth’,√wetth’=uylh=DUR,one's baby's back is getting strained,
5115,wutth’i’ast,wutth'i'ast,√wetth’,√wetth’=i’as=t,put holes in cedar strips in basket making,
5116,wutth’shut,wutth'shut,√wetth’,√wetth’=shen=t,pry a foot out of the mire/lever a wheel out of the mud,
5117,we’wutth’shut,we'wutth'shut,√wetth’,√wetth’=shen=t=PROG,prying a wheel of a vehicle out of the mud,Also huw'tth'shut.
5118,huw’tth’shut,huw'tth'shut,√wetth’,√wetth’=shen=t=PROG,prying a foot out of the mire/be levering a wheel out of the mud,Also we'wutth'shut.
5119,tswe’,tswe',√we’,ts=√we’,have: one who has,
5120,swe’,swe',√we’,s=√we’,"belong to,own"," As a predicate,the possessor is a possessive and the possessed is subject:."
5121,suw’e’,suw'e',√we’,s=√we’=STA,with: go with,
5122,swuwe’s,swuwe's,√we’,s=√we’=PL,"own,PL",
5123,wa’thun,wa'thun,√we’,√we’=athun,sing someone else's song; share someone else's food,
5124,hwswa’thun,hwswa'thun,√we’,hws=√we’=athun,singer of other people's songs,
5125,huw’uthun’,huw'uthun',√we’,√we’=athun=PROG,singing someone's song; eating someone's food,
5126,hi’huw’uthun’,hi'huw'uthun',√we’,√we’=thun=DIM=PROG,"eating another's food,singing another's song DIM",
5127,huli’huw’uthun’,huli'huw'uthun',√we’,√we’=thun=DIM=PROG=PL,eating their food DIM,
5128,swultun,swultun,√wul,s=√wul=ten,net: gillnet (noun),
5129,wulaam’,wulaam',√wulaam’,√wulaam’,echo,
5130,wuwulam’,wuwulam',√wulaam’,√wulaam’=PROG,echoing,
5131,swiw’lus,swiw'lus,√wulus,s=√wulus=DIM,"young man,teenage boy",
5132,swaw’lus,swaw'lus,√wulus,s=√wulus=PL,young men,
5133,hwu swiw’lus,hwu swiw'lus,√wulus,hwu s=√wulus=PL,young man: getting to be a young man,
5134,wulh,wulh,√wulh,√wulh,"now,just,then",A particle marking a point in time when the event begins or ends. A particle preceding the main verb. Possibly a prefix.
5135,’ulh,'ulh,√wulh,√wulh,"now,then",wulh reduces to '. ulh after 'uw'.
5136,hwswulh,hwswulh,√wulh,hws=√wulh,"boisterous,rough (for ex an active child)",
5137,hwswulhshun,hwswulhshun,√wulh,hws=√wulh=shen,"hyperactive,cannot be still",
5138,wulhuthut,wulhuthut,√wulh,√wulh=that,rough on: be rough on,
5139,huw’lhthut,huw'lhthut,√wulh,√wulh=that=PROG,rough on: being rough on,
5140,wulhxus,wulhxus,√wulhxus,√wulhxus,March (when frogs start croaking),Possibly related to wuxus “frog”.
5141,wutl’uts’,wutl'uts',√wutl’uts’,√wutl’uts’,"fall (from a standing position),stumble"," In the origin narratives,the first people “ wutl'uts'“ to earth from the sky."
5142,hwswutl’uts’,hwswutl'uts',√wutl’uts’,hws=√wutl’uts’,faller: someone who falls habitually,
5143,huw’tl’uts’,huw'tl'uts',√wutl’uts’,√wutl’uts’=PROG,"falling,stumbling",
5144,wul’tl’uts’,wul'tl'uts',√wutl’uts’,√wutl’uts’=PL,fall PL,
5145,swunmelh,swunmelh,√wunmelh,s=√wunmelh,"nephew,niece,when the parent is deceased",
5146,swuq’ous,swuq'ous,√wouq’ous,s=√wouq’ous,Mt,
5147,hun’wuqw,hun'wuqw,√wuqw,hun’=√wuqw,"pullover sweater,pull your head through",
5148,wuq’uq’,wuq'uq',√wuq’uq’,√wuq’uq’,snail (with shell),
5149,wuqw’,wuqw',√wuqw’,√wuqw’,downstream; east," Note: this is primarily water terminology and cardinal directions are derivative.  For people on the east coast of Vancouver Island,rivers flow eastward."
5150,huw’iqw’,huw'iqw',√wuqw’,√wuqw’=STA,downstream: be downstream,
5151,huw’qw’,huw'qw',√wuqw’,√wuqw’=PROG,drift,
5152,yu huw’qw’,yu huw'qw',√wuqw’,yu √wuqw’=PROG,drifting along,
5153,wuqw’utum,wuqw'utum,√wuqw’,√wuqw’=t=m,downstream: drift downstream,Note passive morphology and no obvious agent.
5154,wuqw’wuqw’utum,wuqw'wuqw'utum,√wuqw’,√wuqw’=t=m=PL,downstream: drift downstream PL,
5155,huw’qw’utum’,huw'qw'utum',√wuqw’,√wuqw’=t=m=PROG,downstream: drifting downstream,
5156,wuqw’uthut,wuqw'uthut,√wuqw’,√wuqw’=that,downstream: go downstream,
5157,wuqw’ilum,wuqw'ilum,√wuqw’,√wuqw’=il=m,downstream: go downstream,
5158,huw’qw’uthut,huw'qw'uthut,√wuqw’,√wuqw’=that=PROG,downstream: going downstream,
5159,wuqw’wuqw’uthut,wuqw'wuqw'uthut,√wuqw’,√wuqw’=that=PL,downstream: go downstream PL,
5160,huw’uw’qw’uthut,huw'uw'qw'uthut,√wuqw’,√wuqw’=that=PROG=PL,downstream: going downstream PL,
5161,yu huw’qw’uthut,yu huw'qw'uthut,√wuqw’,yu √wuqw’=that=PROG,downstream: going downstream,
5162,tun’wuqw’,tun'wuqw',√wuqw’,tun’=√wuqw’,east wind,
5163,swuqw’a’lh,swuqw'a'lh,√wuqw’,s=√wuqw’=a’lh,blanket: goat's wool blanket,This blanket is double and folded BC.
5164,swuwqw’a’lh,swuwqw'a'lh,√wuqw’,s=√wuqw’=a’lh=PL,blankets: goat's wool blankets,
5165,huw’qw’elhnulh,huw'qw'elhnulh,√wuqw’,√wuqw’=elhnulh=PROG,wind goes with the water,
5166,wuqw’uxun,wuqw'uxun,√wuqw’,√wuqw’=exun,east,Note: the root means ‘downstream’ and does not denote a cardinal direction.
5167,hiw’qw’e’luqw,hiw'qw'e'luqw,√wuqw’,√wuqw’=uluq,"breeze goes with the water,(fair wind)",
5168,huw’qw’iim’,huw'qw'iim',√wuqw’,√wuqw’=im=PROG,"eastward: go eastward,tide goes out",
5169,wuqw’xenum,wuqw'xenum,√wuqw’,√wuqw’=xen=m,downstream: walk downstream,
5170,yu huw’qw’xe’num’,yu huw'qw'xe'num',√wuqw’,yu √wuqw’=xen=m=PROG,downstream: walking downstream,
5171,huw’uw’us,huw'uw'us,√wuwa’us,√wuwa’us=PROG,barking,
5172,wuxus,wuxus,√wuxus,√wuxus,frog: tree frog,
5173,swuy’qe’,swuy'qe',√wuy’qe’,s=√wuy’qe’,"man,male",
5174,suw’wuy’qe’,suw'wuy'qe',√wuy’qe’,s=√wuy’qe’=PL,men,
5175,swuwi’qe’al’lh,swuwi'qe'al'lh,√wuy’qe’,s=√wuy’qe’=aallh=DIM,boy: little boy,
5176,swuy’qe’allh,swuy'qe'allh,√wuy’qe’,s=√wuy’qe’=allh,boy,
5177,suw’wuy’qe’allh,suw'wuy'qe'allh,√wuy’qe’,s=√wuy’qe’=allh=PL,boys,
5178,shwuy’qe’qun,shwuy'qe'qun,√wuy’qe’,s=hw=√wuy’qe’=qun,sound like a male,
5179,wil’,wil',√wil’,√wil’,appear; come in to view,
5180,wi’wul’,wi'wul',√wil’,√wil’=PROG,"appearing,coming into view",
5181,hee’wi’wul’,hee'wi'wul',√wil’,√wil’=DIM=PROG,appearing DIM,
5182,swi’wul’,swi'wul',√wil’,s=√wil’=STA,"show,visible",
5183,see’wi’wul’,see'wi'wul',√wil’,s=√wil’=DIM=STA,"show,visible DIM",
5184,wi’ult,wi'ult,√wil’,√wil’=t,"show,bring out",
5185,wul’nuhw,wul'nuhw,√wil’,√wil’=nehw,"show,bring out,showing (something never seen before)",
5186,wi’wul’nuhw,wi'wul'nuhw,√wil’,√wil’=nehw=PROG,"showing,bringing out (for ex managing to)",
5187,wi’ulthut,wi'ulthut,√wil’,√wil’=that,"show oneself,come into view",
5188,wiqus,wiqus,√wiq,√wiq=as,yawn,
5189,wi’wuqus,wi'wuqus,√wiq,√wiq=as=PROG,yawning,
5190,hee’wi’wuqus,hee'wi'wuqus,√wiq,√wiq=as=PROG=DIM,yawning DIM,Also hee'wiwuqus.
5191,hwwit’ut,hwwit'ut,√wit’,hw=√wit’=t,"open it up (a fish,bird)",
5192,wuwi’stun’uq,wuwi'stun'uq,√wi’,√wi’=stunuq=RDP,jealous: being jealous,
5193,wool’,wool',√wool’,√wool’,tule,Possibly woul'.
5194,w’uwa’ulh,w'uwa'ulh,√w’uwa’,√w’uwa’=ulh,"must have,evidently",Possibly wawa' plus wulh. See also wawa' and wa'.
5195,hwkw’els,hwkw'els,√hwakw’,√hwakw’=els,"sand (verb),to sand something"," The word is not Cowichan,but is said to be used in the Malahat area CW JUL91."
5196,hwahwukw’ul’s,hwahwukw'ul's,√hwakw’,√hwakw’=els=PROG,sanding something,This word is not used in the Cowichan area CW JUL91.
5197,shhwahwukw’ul’s,shhwahwukw'ul's,√hwakw’,shhw=√hwakw’=els=PROG,sander,
5198,s-hwahwukw’,s-hwahwukw',√hwakw’,s=√hwakw’=STA,drunk (intoxicated),
5199,hwayum,hwayum,√hwayum,√hwayum,sell," See 'iluqut buy,tsala'lh borrow/lend."
5200,hwuhwa’hwiyum’,hwuhwa'hwiyum',√hwayum,√hwayum=DIM=PROG,selling DIM,
5201,hwula’hwuyum’,hwula'hwuyum',√hwayum,√hwayum=DIM=PL,sell PL,
5202,s-hwahwiyum’,s-hwahwiyum',√hwayum,s=√hwayum=PROG,selling: what one is selling,
5203,shhwimelu,shhwimelu,√hwayum,shhw=√hwayum=elu,"store,market",
5204,tl’shhwimelu,tl'shhwimelu,√hway,tl’=shhw=√hway=m=elu,"shop,go to the store",
5205,tl’shhwiime’lu,tl'shhwiime'lu,√xway,tl’=shhw=√xway=m=elu=PROG,"shopping,going shopping",Note the apparently late derivation of the imperfective.
5206,hwuhwtsi’qw,hwuhwtsi'qw,√hwtsu,√hwtsu=a’qw=RDP,duck: bufflehead; hooded merganser,See also xuxq'un'e'.
5207,s-hwuhwets’,s-hwuhwets',√hwts’u,s=√hwts’u=STA,"middle: be in the midst,in the middle",
5208,s-hwi’hwuhwets’,s-hwi'hwuhwets',√hwts’u,s=√hwts’u=DIM=STA,middle: be in the middle DIM (for ex a small person),
5209,hwts’ut,hwts'ut,√hwts’u,√hwts’u=t,middle: put in the middle,
5210,hwts’uthut,hwts'uthut,√hwts’u,√hwts’u=that,middle: go between (for ex going through a pass between mountains),
5211,hwe,hwe,√hwe,√hwe,down: go down,
5212,s-hwuhwe,s-hwuhwe,√hwe,s=√hwe=STA,down: already down,
5213,s-hwi’hwuhwe,s-hwi'hwuhwe,√hwe,s=√hwe=DIM=STA,down DIM,
5214,hwet,hwet,√hwe,√hwe=t,"down: bring down (for ex from hanging),lower",
5215,hwetum,hwetum,√hwe,√hwe=t=m,"down: lower him,push it down PASS",
5216,hwathut,hwathut,√hwe,√hwe=that,down: go down,
5217,hweluq,hweluq,√hweluq,√hweluq,almost,
5218,hwuw’hwul’uq,hwuw'hwul'uq,√hweluq,√hweluq=DIM,almost DIM,
5219,hwelushum,hwelushum,√hwelush,√hwelush=m,drip (verb),See also tth'q'um.
5220,hwel’shum’,hwel'shum',√hwelush,√hwelush=m=PROG,dripping,
5221,hwe’hwe’,hwe'hwe',√hwe’,√hwe’=RDP,fast,See also xwum.
5222,hwule’hwe’,hwule'hwe',√hwe’,√hwe’=RDP=PL,fast PL,
5223,s-hwi’hwuhwe’,s-hwi'hwuhwe',√hwe’,s=√hwe’=DIM=STA,industrious DIM,
5224,s-hwuhwe’,s-hwuhwe',√hwe’,s=√hwe’=STA,"industrious,ambitious",
5225,s-hwuhwa’us,s-hwuhwa'us,√hwe’,s=√hwe’=as=PROG,thunder,
5226,hwa’us,hwa'us,√hwe’,√hwe’=as,"scare game (breaking sticks,making noise when scaring game out to hunters)",
5227,hwuhwa’us,hwuhwa'us,√hwe’,√hwe’=as=PROG,"scaring game (breaking sticks,making noise when scaring game out to hunters)",
5228,hwe’luqup,hwe'luqup,√hwe’,√hwe’=iluqup,"audible,can be heard",
5229,hwe’nutst,hwe'nutst,√hwe’,√hwe’=nets=t,remove canes and roots,
5230,hwulnutst,hwulnutst,√hwul,√hwul=nets=t,uproot a tree,
5231,hwulmuhw,hwulmuhw,√hwul,√hwul=muhw,Indian person,
5232,ts’lhhwulmuhw,ts'lhhwulmuhw,√hwul,ts’lh=√hwul=muhw,fellow Indians,
5233,hwuhwilmuhw,hwuhwilmuhw,√hwul,√hwul=muhw=PL.,Indians,
5234,hwul’ihwul’muhw,hwul'ihwul'muhw,√hwul,√hwul=muhw=DIM=PL.,Indians DIM,
5235,shwul’akw’,shwul'akw',√hwulukw’,s=hwunituma’lh,wrapped,
5236,hwulukw’t,hwulukw't,√hwulukw’,√hwulukw’=t,wrap it up,
5237,hwuhwulukw’t,hwuhwulukw't,√hwulukw’,√hwulukw’=t=PROG,wrapping it up,
5238,hwulukw’tum,hwulukw'tum,√hwulukw’,√hwulukw’=t=m,wrap it up PASS,
5239,s-hwulmuhwa’lh,s-hwulmuhwa'lh,√hwulmuhw,s=√hwulmuhw=a’lh,First Nations Person: pertaining to,
5240,hwel’shum’,hwel'shum',√hwulsh,√hwulsh=m=PROG,dripping,
5241,shhwutl’qun’elu,shhwutl'qun'elu,√hwutl’,shhw=√hwutl’=qin=elu,pillow case,
5242,s-hwutl’qun’,s-hwutl'qun',√hwutl’,s=√hwutl’=qin,pillow,
5243,s-hwunituma’lh,s-hwunituma'lh,√hwunitum,s=√hwunitum=a’lh,white man (adj,
5244,hwunitum’,hwunitum',√hwunitum,√hwunitum’,white man,
5245,hwulunitum’,hwulunitum',√hwunitum,√hwunitum’=PL.,white people,
5246,hwan’kw’um’,hwan'kw'um',√hwunkw’,√hwunkw’=m=PROG,breathing heavily; roaring,
5247,hwun’,hwun',√hwun’,√hwun’,"still,already,early",A particle meaning ‘early’ in commands and ‘still’ or ‘already’ in statements.
5248,hwun’a’,hwun'a',√hwun’a’,√hwun’a’,"first,first time",
5249,hwanukw’um,hwanukw'um,√hwun’kw’,√hwun’kw’=m,breathe heavily; roaring sound,
5250,s-hwut,s-hwut,√hwut,s=√hwut,thrush: Swainson's thrush,
5251,hwutus,hwutus,√hwutus,√hwutus,heavy,light: hwu'eehwe'.
5252,hwu hwutus,hwu hwutus,√hwutus,hwu √hwutus,heavy: get heavy,
5253,hwuhwutus,hwuhwutus,√hwutus,√hwutus=PROG,heavy: getting heavy,
5254,hwi’hwtus,hwi'hwtus,√hwutus,√hwutus=DIM,heavy DIM,
5255,hwahwtus,hwahwtus,√hwutus,√hwutus=PL.,heavy PL,
5256,hwuli’hwtus,hwuli'hwtus,√hwutus,√hwutus=DIM=PL.,heavy DIM PL,
5257,hwutth’um’,hwutth'um',√hwutth’,√hwutth’=m,unsteady,
5258,hwi’hwutth’eenum’,hwi'hwutth'eenum',√hwutth’,√hwutth’=un’u=m=DUR,rocking chair; seesaw,Morphology uncertain.
5259,s-hwuw’qun,s-hwuw'qun,√hwuw’,s=√hwuw’=qin,swan,Verify spelling.  Originally transcribed as shwuwqun.
5260,hwuy,hwuy,√hwuy,√hwuy,wake up,
5261,hwuhwuy’,hwuhwuy',√hwuy,√hwuy=PROG,waking up,
5262,yu hwuhwuy’,yu hwuhwuy',√hwuy,yu √hwuy=PROG,waking up,
5263,s-hwuhwi’,s-hwuhwi',√hwuy,s=√hwuy=STA,awake,
5264,s-hwe’hwuhwi’,s-hwe'hwuhwi',√hwuy,s=√hwuy=DIM=STA,awake DIM,Note: [e] is dissimilation from [i]. Speakers without this rule will have shwi'hwuhwi'.
5265,hwuyt,hwuyt,√hwuy,√hwuy=t,wake someone up,
5266,hwey’t,hwey't,√hwuy,√hwuy=t=PROG,waking someone up,
5267,hwey’tum’,hwey'tum',√hwuy,√hwuy=t=m=PROG,waking someone up PASS,
5268,hway’thut,hway'thut,√hwuy,√hwuy=that,waking self up,
5269,hwuyuws,hwuyuws,√hwuy,√hwuy=iws,"wake up,come to attention,become alert",
5270,hwuyuwst,hwuyuwst,√hwuy,√hwuy=iws=t,"wake him/her up,make him/her altert,cheer up",
5271,hwe’yuw’sun’uq,hwe'yuw'sun'uq,√hwuy,√hwuy=iws=unuq=PROG,"waker,one who urges you on",
5272,s-hwuyum,s-hwuyum,√hwuyum,s=√hwuyum,"duck: goldeneye duck (common,Barrow's,American)",It whistles as it flies.
5273,hwuhwuyim,hwuhwuyim,√hwuyum,√hwuyum=RDP,leech,
5274,hwuhwiyem’,hwuhwiyem',√hwuyum,√hwuyum=RDP,sandfleas,Also recorded as hwuhwiyim BC 18APR80.
5275,hwuypelu,hwuypelu,√hwuypelu,√hwuypelu,wheelbarrow,Probably from English  ‘wheelbarrow’. Also pronounced hwipelu.
5276,hwu’alum’,hwu'alum',√hwu’alum’,√hwu’alum’,"return,go back",Possibly [hwu-√alum]. The root has not been identified.
5277,hwu’a’lum’ul’mun’,hwu'a'lum'ul'mun',√hwu’alum’,√hwu’alum’=ulmun,wanting to turn back,
5278,hwu’alum’stuhw,hwu'alum'stuhw,√hwu’alum’,√hwu’alum’=stuhw,return it; put it back,
5279,hwu’alum’stum,hwu'alum'stum,√hwu’alum’,√hwu’alum’=stuhw=m,return it PASS,
5280,hwu’ul’lum’,hwu'ul'lum',√hwu’alum’,√hwu’alum’=PL.,going and returning,
5281,hwu’eehwe’,hwu'eehwe',√hwu’eehwe’,√hwu’eehwe’,light-weight,Possibly a reduplication of a root √hwe'. heavy: hwutus.
5282,hwu hwu’eehwe’,hwu hwu'eehwe',√hwu’eehwe’,hwu √hwu’eehwe’,light-weight (become),
5283,hwu’eehwe’stuhw,hwu'eehwe'stuhw,√hwu’eehwe’,√hwu’eehwe’=stuhw,light-weight: make it light,
5284,hwuli’hwu’eehwe’,hwuli'hwu'eehwe',√hwu’eehwe’,√hwu’eehwe’=DIM=PL.,light-weight DIM PL,
5285,hwu’uw’tssum,hwu'uw'tssum,√hwu’uw’,√hwu’uw’=tses=m,"pass,hand",Possibly related to hw'uw'tsust ‘teach’.
5286,hwii’hwshun’,hwii'hwshun',√hwii’hw,√hwii’hw=shen,limping; dancing with one heavy foot,
5287,hwikwut,hwikwut,√hwikw,√hwikw=t,brush close by,
5288,hwukwnuhw,hwukwnuhw,√hwikw,√hwikw=nehw,"brush against,accidentally",
5289,ts-hwikw’,ts-hwikw',√hwikw,ts=√hwikw’,grey,
5290,hwikw’ul,hwikw'ul,√hwikw,√hwikw’=il,"grey (turn grey,fade to grey)",
5291,hwihwukw’ul’,hwihwukw'ul',√hwikw,√hwikw’=il=PROG,"greying (turning,fading to grey)",
5292,s-hwimelhulh,s-hwimelhulh,√hwimelhulh,s=√hwimelhulh,Esquimalt,Cooper Road area.
5293,hwisut,hwisut,√hwis,√hwis=t,shake it,
5294,hwisuthut,hwisuthut,√hwis,√hwis=that,shake oneself,
5295,hwseenhwt,hwseenhwt,√hwis,√hwis=enhw=t,shake berries off (harvesting),
5296,hwisulenhw,hwisulenhw,√hwis,√hwis=ul=enhw,October,
5297,hwusshenum,hwusshenum,√hwis,√hwis=shen=m,"shake your foot,leg,pants",
5298,hwuhwusshe’num’,hwuhwusshe'num',√hwis,√hwis=shen=m=PROG,shaking off your feet,
5299,hwihwusshe’num’,hwihwusshe'num',√hwis,√hwis=shen=m=PROG,shaking off your feet,
5300,hwuhwiw’,hwuhwiw',√hwiw,√hwiw=STA,"front,: in front in the front row (for ex in the longhouse)",
5301,hwiwsh,hwiwsh,√hwiw,√hwiw=sh,forward: bring forward,
5302,hwiwshum,hwiwshum,√hwiw,√hwiw=sh=m,front: bring forward PASS,
5303,hwiwul,hwiwul,√hwiw,√hwiw=il,"front: come to shore,upriver,or to middle of longhouse"," See also lheel,come to shore,to middle of longhouse,and taal,go out from shore."
5304,hwihwuwul’,hwihwuwul',√hwiw,√hwiw=il=PROG,"front: coming to shore,upriver,or to middle of longhouse",
5305,shhwuhwi’wuqun’,shhwuhwi'wuqun',√hwiw,s=√hwiw=uqun=STA,front: in front (of),
5306,hwiyunem’,hwiyunem',√hwiyunem’,√hwiyunem’,listen,Also recorded as hw'iin'em'.
5307,hwi’,hwi',√hwi’,√hwi’,"now,next",A particle indicating that something has suddenly happened possibly contrary to speaker’s expectation.
5308,hwkw’at,hwkw'at,√hwkw’a,√hwkw’a=t,"pull it,pull the slack up",
5309,hwakw’t,hwakw't,√hwkw’a,√hwkw’a=t=PROG,pulling it,
5310,hwi’hwkw’at,hwi'hwkw'at,√hwkw’a,√hwkw’a=t=DUR,pulling (keep on); tug-of-war,
5311,hwi’hwakw’t,hwi'hwakw't,√hwkw’a,√hwkw’a=t=DIM=PROG,pulling DIM,
5312,hwkw’atum,hwkw'atum,√hwkw’a,√hwkw’a=t=m,pull PASS,
5313,hwakw’tum’,hwakw'tum',√hwkw’a,√hwkw’a=t=m=PROG,pulling PASS,
5314,hwkw’athut,hwkw'athut,√hwkw’a,√hwkw’a=that,drag self,
5315,hwakw’thut,hwakw'thut,√hwkw’a,√hwkw’a=that=PROG,dragging self (for ex a snake),
5316,hwi’hwkw’atul’,hwi'hwkw'atul',√hwkw’a,√hwkw’a=tal=DUR,tug-of-war,
5317,hwkw’ast,hwkw'ast,√hwkw’a,√hwkw’a=as=t,drag it,
5318,hwukw’ust,hwukw'ust,√hwkw’a,√hwkw’a=as=t=PROG,dragging it,
5319,yuhwukw’ustum’,yuhwukw'ustum',√hwkw’a,√hwkw’a=as=t=m=PROG,dragging it PASS,
5320,hwukw’netsum,hwukw'netsum,√hwkw’a,√hwkw’a=nets=m,salamander,
5321,hwkw’uthint,hwkw'uthint,√hwkw’a,√hwkw’a=thin=t,turn it right-side-up,
5322,xuxaatth’un’up,xuxaatth'un'up,√xaatth’,√xaatth’=unup=PROG,"surveying,surveyor","Possibly related to √xeetth',cf,sxu'etth' ‘measured’."
5323,xatsa’,xatsa',√xatsa’,√xatsa’,lake; swamp,
5324,xa’lutsa’,xa'lutsa',√xatsa’,√xatsa’=PL,lakes,
5325,sxalumus,sxalumus,√xalum,s=√xalum=as,greyhaired,See also tshwikw' grey [√hwikw'.
5326,shxalumus,shxalumus,√xalum,shhw=√xalum=as,mask,
5327,xas,xas,√xas,√xas,expression (for ex my!),
5328,xat’ut,xat'ut,√xat’,√xat’=t,"pry,wedge it (to keep it from closing)",
5329,hwxut’qenum,hwxut'qenum,√xat’,hw=√xat’=qen=m,"pry open,wedge open (mouth)",
5330,shxathus,shxathus,√xath,s=hw=√xath=as,palm of hand; sole of foot,
5331,shxathustsus,shxathustsus,√xath,s=hw=√xath=as=tses,palm of the hand,
5332,sxayum’,sxayum',√xay,s=√xay=m,stomach: the smaller stomach of a cud-chewing animal,
5333,xuyxayukw’ustum,xuyxayukw'ustum,√xayukw’us,√xayukw’us=t=m=RDP,nightmare: have a nightmare,Note that the form is always passive. Apparently involves dreaming of the dead.
5334,xi’xuyukw’ustum’,xi'xuyukw'ustum',√xayukw’us,√xayukw’us=t=m=RDP=PROG,nightmare: having a nightmare,
5335,xuyxayukw’usthelum,xuyxayukw'usthelum,√xayukw’us,√xayukw’us=t=selum=RDP,nightmare: I had a nightmare,
5336,xa’qun,xa'qun,√xa’,√xa’=qin,martin,
5337,sxuxits,sxuxits,√xtsu,s=√xtsu=STA,"obvious,visible",Also pronounced suxits.
5338,sxuxits,sxuxits,√xtsu,s=√xtsu=STA,decided upon,
5339,sxe’xuxits,sxe'xuxits,√xtsu,s=√xtsu=DIM=STA,obvious DIM,
5340,sxule’xuxits,sxule'xuxits,√xtsu,s=√xtsu=DIM=PL=STA,obvious DIM PL,
5341,xtsut,xtsut,√xtsu,√xtsu=t,"figure it out,decide",
5342,xetst,xetst,√xtsu,√xtsu=t=PROG,"figuring it out,sizing it up",
5343,xe’xtsit,xe'xtsit,√xtsu,√xtsu=t=DUR,"figuring out,pondering",
5344,xetstha’mu,xetstha'mu,√xtsu,√xtsu=t=amu=PROG,figuring (about you),
5345,xtsuthut,xtsuthut,√xtsu,√xtsu=that,think,
5346,xatsthut,xatsthut,√xtsu,√xtsu=that,"deciding to,figuring",
5347,xe’xtsithut,xe'xtsithut,√xtsu,√xtsu=that=DUR,deciding (i,
5348,xutsten’,xutsten',√xtsu,√xtsu=ten,"marker,index,indicator,signal",
5349,xtsetsustun,xtsetsustun,√xtsu,√xtsu=tsus=ten,pattern,See also stl'tsels [√tl'its]. Note the thematic vowel /e/ instead of / u/.
5350,xeel’s,xeel's,√xeel’s,√xeel’s,"changer,creator",Possibly related to √xe' or xi'.
5351,xeem,xeem,√xeem,√xeem,cry,See also √xey and xwuythut weep [√xwuy].
5352,xeem’,xeem',√xeem,√xeem=STA,"crying,weeping",
5353,xuxeemnamut,xuxeemnamut,√xeem,√xeem=namut=RDP,cry: have a crying spell,
5354,hwu xeem’,hwu xeem',√xeem,hwu √xeem=STA,start crying,
5355,ts’lhxeem’,ts'lhxeem',√xeem,ts’lh=√xeem=STA,mourners (for ex inlaws who cry with the spouse),See also qilas mourn [√qil].
5356,xee’mut,xee'mut,√xeem,√xeem=t=STA,"crying for,mourning",
5357,xeemutum,xeemutum,√xeem,√xeem=t=m,cry for PASS,
5358,xee’mi’lh,xee'mi'lh,√xeem,√xeem=uylh=STA,one's baby is crying,
5359,sxeesh,sxeesh,√xeesh,s=√xeesh,"bird (a small winter bird,males are blackheaded and smaller than a robin)",
5360,xeetth’,xeetth',√xeetth’,√xeetth’,measurement,
5361,xeetth’,xeetth',√xeetth’,√xeetth’,buoy,
5362,sxeetth’,sxeetth',√xeetth’,s=√xeetth’,murre,See also sxeytth'.
5363,sxu’etth’,sxu'etth',√xeetth’,s=√xeetth’=STA,measured,
5364,xeetth’t,xeetth't,√xeetth’,√xeetth’=t,measure it,
5365,xelu,xelu,√xelu,√xelu,rare,
5366,xe’luw’,xe'luw',√xe’luw’,√xe’luw’,"spoon (horn or wood),ladle,serving spoon",Also spelled xe'luw'.
5367,xe’luw’aythun,xe'luw'aythun,√xe’luw’,√xe’luw’=aythin,labret,
5368,sxe’muth,sxe'muth,√xe’muth,s=√xe’muth,sap: running sap,
5369,xetl’,xetl',√xetl’,√xetl’,windy (stormy breeze),
5370,xutl’shun,xutl'shun,√xetl’,√xetl’=shen,"rain,pouring rain (v",
5371,shxetl’,shxetl',√xetl’,shhw=√xetl’,weir,
5372,sxexutl’,sxexutl',√xetl’,s=√xetl’=STA,across (for ex cross-ways in the road),
5373,tsxul’xulutl’,tsxul'xulutl',√xetl’,ts=√xetl’=PL=RDP,"against a storm (for ex going against a gusty,broken wind)",Note apparent reduplication of the -l-infix.
5374,xetl’ut,xetl'ut,√xetl’,√xetl’=t,"lay it across,block",
5375,xe’xtl’itul,xe'xtl'itul,√xtl’e,√xtl’e=tal=DUR,disagree with each other,
5376,xatl’thut,xatl'thut,√xetl’,√xetl’=that,"stormy,blowing hard",
5377,yu xutl’xutl’uthut,yu xutl'xutl'uthut,√xetl’,yu √xetl’=that=PL=PROG,criss-crossing a steep path,
5378,sxutl’tsustun,sxutl'tsustun,√xetl’,s=√xetl’=tses=ten,form for gillnet-making (a wood square),
5379,shxetl’upsumtun,shxetl'upsumtun,√xetl’,shhw=√xetl’=upsem=ten,collarbone,
5380,xtl’inustun,xtl'inustun,√xetl’,√xetl’=inus=ten,collarbone (clavicle),
5381,sxeltl’shun,sxeltl'shun,√xetl’,s=√xetl’=shen=PL,pigeon-toed,
5382,xutl’shutun,xutl'shutun,√xetl’,√xetl’=shen=ten,sail boom,See also xwaat'shutun.
5383,shxutl’wiltun,shxutl'wiltun,√xetl’,shhw=√xetl’=wil=ten,crossbeam in house,
5384,shxatth’ustun,shxatth'ustun,√xetth’,shhw=√xetth’=as=ten,"picture,photograph",Possibly related to √xeetth'.
5385,hwxatth’ustum,hwxatth'ustum,√xetth’,hw=√xetth’=as=t=m,picture: take a picture of; x-ray,
