ID,orthography,apaunicode,straight,root,parse,definition,note
5889,yul’yuluw,yəly̓ələw,y;l¥;l;w,√yul’ew’,√yul’ew’=PL,"overdo, overripe",
5890,sil’wulhnet,silw̓əɫnet,silΣ;®net,√yul’wulh,s=√yul’wulh=net,Monday,Probably related to yul'ew'.
5891,syul’uw’a,syəl̓əw̓a,sy;¬;Σa,√yul’uw’,s=√yul’uw’a,stack of blankets," Either swuqw'a'lh or lhuxwtun, for potlatching. Possibly [√yul']."
5892,yutl’q’t,yəƛ̓q̓t,y;√œt,√yutl’q’,√yutl’q’=t,paint it,
5893,shyetl’q’ul’s,šyeƛ̓q̓əl̓s,ßye√œ;¬s,√yutl’q’,√yutl’q’=els=PROG,brush: paintbrush,
5894,yumq’t,yəmq̓t,y;mœt,√yumq’,√yumq’=t,"rub him/her down (with something, such as cedar branches)",
5895,yem’q’t,yem̓q̓t,yeµœt,√yumq’,√yumq’=t=PROG,rubbing him/her down (with branches),
5896,yum’q’tum,yəm̓q̓təm,y;µœt;m,√yumq’,√yumq’=t=m,scrub down ceremonially (with branches) PASS,
5897,yum’yum’q’tum,yəmy̓əm̓q̓təm,y;m¥;µœt;m,√yumq’,√yumq’=t=m=PL,scrub down ceremonially (with branches) PL,
5898,yem’yum’q’tum’,yemy̓əm̓q̓təm̓,yem¥;µœt;µ,√yumq’,√yumq’=t=m=PL=PROG,scrubbing down ceremonially (with branches) PL,
5899,yum’yum’q’talum,yəmy̓əm̓q̓taləm,y;m¥;µœtal;m,√yumq’,√yumq’=t=alum=PL,scrub us down ceremonially (with branches) PASS,
5900,yumq’thut,yəmq̓θət,y;mœƒ;t,√yumq’,√yumq’=that,scrub oneself ceremonially with cedar or balsam (or sand),
5901,yem’q’um’,yem̓q̓əm̓,yeµœ;µ,√yumq’,√yumq’=m=PROG,rippling (from the movement of a fish as it swims upstream),See also yem't'um'.
5902,yem’q’um’,yem̓q̓əm̓,yeµœ;µ,√yumq’,√yumq’=m=PROG,rippling (from a fish that is moving fast),
5903,hwyum’q’usum,xʷyəm̓q̓əsəm,xøy;µœ;s;m,√yumq’,hw=√yumq’=as=m,scrub your face ceremonially (with branches),
5904,hwyam’q’usum’,xʷyam̓q̓əsəm̓,xøyaµœ;s;µ,√yumq’,hw=√yumq’=as=m=PROG,scrubbing one's face ceremonially (with branches),
5905,yum’q’aythinum,yəm̓q̓ayθinəm,y;µœayƒin;m,√yumq’,√yumq’=aythin=m,scrub one's mouth ceremonially (with branches),
5906,yam’q’i’uthi’num’,yam̓q̓iʔəθin̓əm̓,yaµœi÷;ƒi∫;µ,√yumq’,√yumq’=aythin=m=PROG,"scrubbing one's mouth ceremonially (with, for ex branches)",
5907,yum’q’a’qwt,yəm̓q̓aʔqʷt,y;µœa÷qøt,√yumq’,√yumq’=a’qw=t,scrub someone's head ceremonially,
5908,yam’q’a’qwt,yam̓q̓aʔqʷt,yaµœa÷qøt,√yumq’,√yumq’=a’qw=t=PROG,scrubbing someone's head ceremonially,
5909,yum’q’tsust,yəm̓q̓cəst,y;µœc;st,√yumq’,√yumq’=tsus=t,scrub someone's hands ceremonially,
5910,yum’q’tsusnuhw,yəm̓q̓cəsnəxʷ,y;µœc;sn;xø,√yumq’,√yumq’=tsus=nehw,scrub someone's hands ceremonially (manage to),
5911,yem’q’tsusnuhw,yem̓q̓cəsnəxʷ,yeµœc;sn;xø,√yumq’,√yumq’=tsus=nehw=PROG,scrubbing someone's hands ceremonially (managing to),
5912,yem’q’tsust,yem̓q̓cəst,yeµœc;st,√yumq’,√yumq’=tsus=t=PROG,scrubbing someone's hands ceremonially,
5913,yum’q’tssels,yəm̓q̓csels,y;µœcsels,√yumq’,√yumq’=tsus=els,scrub hands ceremonially,
5914,yum’q’tssum,yəm̓q̓csəm,y;µœcs;m,√yumq’,√yumq’=tsus=m,scrub one's hands ceremonially,
5915,yum’q’tsselsstuhw,yəm̓q̓cselsstəxʷ,y;µœcselsst;xø,√yumq’,√yumq’=tsus=els=stuhw,scrub hands ceremonially: get someone to do the hand-scrubbing,
5916,yum’q’utssumnamut,yəm̓q̓əcsəmnamət,y;µœ;cs;mnam;t,√yumq’,√yumq’=tsus=m=namut,scrub your hands ceremonially (get a chance to),
5917,yem’q’utssum’,yem̓q̓əcsəm̓,yeµœ;cs;µ,√yumq’,√yumq’=tsus=m=PROG,scrubbing your hands ceremonially,
5918,yem’q’utssul’s,yem̓q̓əcsəl̓s,yeµœ;cs;¬s,√yumq’,√yumq’=tsus=els=PROG,scrubbing hands ceremonially,
5919,yem’q’utssum’na’mut,yem̓q̓əcsəmn̓am̓ət,yeµœ;cs;m∫aµ;t,√yumq’,√yumq’=tsus=m=namut=PROG,scrubbing your hands ceremonially (managing to),
5920,yum’q’tsustun,yəm̓q̓cəstən,y;µœc;st;n,√yumq’,√yumq’=tsus=tun,scrubber: scrubber made of cedar or willow bark,
5921,yum’q’a’luw’tsust,yəm̓q̓al̓əw̓cəst,y;µœa¬;Σc;st,√yumq’,√yumq’=a’luw’=tsus=t,scrub someone's fingers ceremonially,
5922,yem’q’a’luw’tsust,yem̓q̓al̓əw̓cəst,yeµœa¬;Σc;st,√yumq’,√yumq’=a’luw’=tsus=t=PROG,scrubbing someone's fingers ceremonially,
5923,yum’q’a’luw’tssum,yəm̓q̓al̓əw̓csəm,y;µœa¬;Σcs;m,√yumq’,√yumq’=a’luw’=tsus=m,scrub one's fingers ceremonially,
5924,yem’q’a’luw’tssum’,yem̓q̓al̓əw̓csəm̓,yeµœa¬;Σcs;µ,√yumq’,√yumq’=a’luw’=tsus=m=PROG,scrubbing one's fingers ceremonially,
5925,yum’q’emutth’t,yəm̓q̓emət̓ᶿt,y;µœem;˙t,√yumq’,√yumq’=emutth’=t,"scrub it ceremonially (a new dancer's walking stick, a crippled child's cane, a teenage boy's spear pole)",
5926,yem’q’umutth’t,yem̓q̓əmət̓ᶿt,yeµœ;m;˙t,√yumq’,√yumq’=emutth’=t=PROG,"scrubbing it ceremonially (walking stick, cane, spear pole)",
5927,yum’q’emutth’ulhtstham’sh,yəm̓q̓emət̓ᶿəɫcθam̓š,y;µœem;˙;®cƒaµß,√yumq’,√yumq’=emutth’=lhts=t=sam’sh,"scrub it for me (for ex walking stick, cane, spear pole)",
5928,hwyum’q’uw’i’tst,xʷyəm̓q̓əw̓iʔct,xøy;µœ;Σi÷ct,√yumq’,hw=√yumq’=uw’i’ts=t,scrub someone's back ceremonially,
5929,hwyem’q’uw’i’tst,xʷyem̓q̓əw̓iʔct,xøyeµœ;Σi÷ct,√yumq’,hw=√yumq’=uw’i’ts=t=PROG,scrubbing someone's back ceremonially,
5930,yum’q’uy’asum,yəm̓q̓əy̓asəm,y;µœ;¥as;m,√yumq’,√yumq’=ias=m,rub: rub against a tree (deer or elk rub their bodies or antlers against trees when shedding fur or antlers),
5931,yim’q’uyasum’,yim̓q̓əyasəm̓,yiµœ;yas;µ,√yumq’,√yumq’=ias=m=DUR,scrubbing oneself on the belly ceremonially,Note the root vowel.
5932,yum’q’inust,yəm̓q̓inəst,y;µœin;st,√yumq’,√yumq’=inus=t,scrub someone's chest ceremonially,
5933,yem’qun’ust,yem̓qən̓əst,yeµq;∫;st,√yumq’,√yumq’=inus=t=PROG,scrubbing someone's chest ceremonially,
5934,yumq’iwst,yəmq̓iwst,y;mœiwst,√yumq’,√yumq’=iws=t,scrub down ceremonially the body of a new dancer (for ex with cedar branches) before bathing in cold water,
5935,yum’q’shut,yəm̓q̓šət,y;µœß;t,√yumq’,√yumq’=shen=t,scrub someone's feet ceremonially,
5936,yem’q’shut,yem̓q̓šət,yeµœß;t,√yumq’,√yumq’=shen=t=PROG,scrubbing someone's feet ceremonially,
5937,yum’q’shunum,yəm̓q̓šənəm,y;µœß;n;m,√yumq’,√yumq’=shen=m,scrub your feet ceremonially,
5938,yem’q’she’num,yem̓q̓šen̓əm,yeµœße∫;m,√yumq’,√yumq’=shen=m=PROG,scrubbing your feet ceremonially,
5939,yemut’um,yemət̓əm,yem;†;m,√yumt’,√yumt’=m,ripple (when shallow water ripples as it goes over a rock),See also yem'q'um'.
5940,yem’t’um’,yem̓t̓əm̓,yeµ†;µ,√yumt’,√yumt’=m=PROG,rippling (when shallow water ripples as it goes over a rock),
5941,hwsyun’yun’,xʷsyəny̓ən̓,xøsy;n¥;∫,√yun,hws=√yun=PL,"laugher, one who laughs easily",
5942,yunyuntus,yənyəntəs,y;ny;nt;s,√yun,√yun=t=us=PL,laugh at,
5943,yun’yun’thatham’sh,yəny̓ən̓θaθam̓š,y;n¥;∫ƒaƒaµß,√yun,√yun=t=sam’sh=PL=PROG,laughing at me PL,
5944,yunyuntum,yənyəntəm,y;ny;nt;m,√yun,√yun=t=m=PL,laugh at PASS,
5945,yunyunthelum,yənyənθeləm,y;ny;nƒel;m,√yun,√yun=t=sel=m=PL,laugh at me PL,
5946,yunyuntalum,yənyəntaləm,y;ny;ntal;m,√yun,√yun=t=alu=m=PL,laugh at us PL (they laughed at us,
5947,yun’yun’the’lum’,yəny̓ən̓θel̓əm̓,y;n¥;∫ƒe¬;µ,√yun,√yun=t=sel=m=PL=PROG,laughing at me,
5948,yun’yun’ta’lum’,yəny̓ən̓tal̓əm̓,y;n¥;∫ta¬;µ,√yun,√yun=t=alu=m=PL=PROG,laughing at us (they are laughing at us,
5949,yunum,yənəm,y;n;m,√yun,√yun=m,laugh,
5950,ye’num’,yen̓əm̓,ye∫;µ,√yun,√yun=m=PROG,laughing,
5951,yunyunum,yənyənəm,y;ny;n;m,√yun,√yun=m=PL,laugh (they laugh),
5952,huyinum,həyinəm,h;yin;m,√yun,√yun=m=PL,laugh:  they laugh,
5953,yun’ye’num’,yəny̓en̓əm̓,y;n¥e∫;µ,√yun,√yun=m=PROG=PL,laughing PL,
5954,yun’yunum’,yəny̓ənəm̓,y;n¥;n;µ,√yun,√yun=m=DUR,laugh (from time to time),
5955,yen’yunum’,yeny̓ənəm̓,yen¥;n;µ,√yun,√yun=m=DUR=PL,laughing (keep on),
5956,yi’ye’num’,yiy̓en̓əm̓,yi¥e∫;µ,√yun,√yun=m=DIM=PROG,laughing DIM,
5957,huliye’num’,həliyen̓əm̓,h;liye∫;µ,√yun,√yun=m=DIM=PL=PROG,laughing DIM PL,
5958,hiiy’en’yunum’,hi:y̓eny̓ənəm̓,hi:¥en¥;n;µ,√yun,√yun=m=DIM=PROG=PL,laughing DIM PL,
5959,hwyunumus,xʷyənəməs,xøy;n;m;s,√yunum,hw=√yunum=as,smile," Probably related to yunum, laugh √yun."
5960,hwya’num’us,xʷyan̓əm̓əs,xøya∫;µ;s,√yunum,hw=√yunum=as=PROG,smiling,
5961,hwyun’ya’num’us,xʷyəny̓an̓əm̓əs,xøy;n¥a∫;µ;s,√yunum,hw=√yunum=as=PROG=PL,smiling PL,
5962,hwii’a’num’us,xʷi:ʔan̓əm̓əs,xøi:÷a∫;µ;s,√yunum,hw=√yunum=as=DIM=PROG,smiling DIM,
5963,hwyuli’ya’num’us,xʷyəliy̓an̓əm̓əs,xøy;li¥a∫;µ;s,√yunum,hw=√yunum=as=DIM=PROG=PL,smiling DIM PL,
5964,yunus,yənəs,y;n;s,√yunus,√yunus,tooth,
5965,yiy’nus,yiyn̓əs,yiy∫;s,√yunus,√yunus=DIM,tooth DIM,
5966,huyinus,həyinəs,h;yin;s,√yunus,√yunus=PL,teeth,
5967,yuq’,yəq̓,y;œ,√yuq’,√yuq’,"rub, scrape against",
5968,yuq’ut,yəq̓ət,y;œ;t,√yuq’,√yuq’=t,sharpen; rub together," See also yuq'us, yuq'ust, sharpen."
5969,yuq’utum,yəq̓ətəm,y;œ;t;m,√yuq’,√yuq’=t=m,rub together PASS,
5970,yuq’els,yəq̓els,y;œels,√yuq’,√yuq’=els,sharpen (something),
5971,huy’q’ul’s,həy̓q̓əl̓s,h;¥œ;¬s,√yuq’,√yuq’=els=PROG,sharpening,
5972,yuq’talustuhw,yəq̓taləstəxʷ,y;œtal;st;xø,√yuq’,√yuq’=tal=stuhw,sharpen knifes against each other; rub together,
5973,yuq’us,yəq̓əs,y;œ;s,√yuq’,√yuq’=as,"sharpen, do some sharpening",
5974,shhwuy’q’us,šxʷəy̓q̓əs,ßxø;¥œ;s,√yuq’,shhw=√yuq’=as=PROG,sharpening stone,
5975,yuq’ust,yəq̓əst,y;œ;st,√yuq’,√yuq’=as=t,"file it, sharpen it on a stone",
5976,yuq’ustewut,yəq̓əstewət,y;œ;stew;t,√yuq’,√yuq’=as=t=ewut,sharpen PASS,
5977,yuq’ustun,yəq̓əstən,y;œ;st;n,√yuq’,√yuq’=as=ten,sharpener,
5978,yuq’ay’atht,yəq̓ay̓aθt,y;œa¥aƒt,√yuq’,√yuq’=ay’uth=t,sharpen the edge (the fine filing of a knife),
5979,huy’q’a’ithut,həy̓q̓aʔiθət,h;¥œa÷iƒ;t,√yuq’,√yuq’=ay’uth=t=PROG,sharpening the edge,
5980,yuq’a’tht,yəq̓aʔθt,y;œa÷ƒt,√yuq’,√yuq’=a’th=t,sharpen the edge,
5981,yuq’yuq’een’,yəqy̓əq̓e:n̓,y;q¥;œe:∫,√yuq’,√yuq’=een’=PL,sharpen knife," Occurs in a song wren t'ut'um'. sings to his grandmother, not a form in common use."
5982,yuq’uwulht,yəq̓əwəɫt,y;œ;w;®t,√yuq’,√yuq’=uwulh=t,rasp a canoe,
5983,huy’q’uw’ulht,həy̓q̓əw̓əɫt,h;¥œ;Σ;®t,√yuq’,√yuq’=uwulh=t=PROG,rasping a canoe,
5984,yuqw,yəqʷ,y;qø,√yuqw,√yuqw,burn,
5985,yuqwnamut,yəqʷnamət,y;qønam;t,√yuqw,√yuqw=namut,burn: get the fire going,
5986,huy’qw,həy̓qʷ,h;¥qø,√yuqw,√yuqw=PROG,burning; fire,
5987,hi’huy’qw,hiʔhəy̓qʷ,hi÷h;¥qø,√yuqw,√yuqw=DIM=PROG,burning DIM,
5988,he’hiiqw,heʔhi:qʷ,he÷hi:qø,√yuqw,√yuqw=DIM=DIM=PROG,"burning DIM (for ex coals burning, little fire left)",
5989,hule’hiiqw,həleʔhi:qʷ,h;le÷hi:qø,√yuqw,√yuqw=DIM=DIM=PROG=PL,burning DIM PL,
5990,suy’iqw,səy̓iqʷ,s;¥iqø,√yuqw,s=√yuqw=STA,burnt,
5991,yuqwt,yəqʷt,y;qøt,√yuqw,√yuqw=t,"burn it, light a fire",
5992,yuqwnuhw,yəqʷnəxʷ,y;qøn;xø,√yuqw,√yuqw=nehw,"burn it, manage to set on fire, manage to get the fire to burn",
5993,huy’qwt,həy̓qʷt,h;¥qøt,√yuqw,√yuqw=t=PROG,D,
5994,yuqwyuqwt,yəqʷyəqʷt,y;qøy;qøt,√yuqw,√yuqw=t=PL,burn them,
5995,yuqwtum,yəqʷtəm,y;qøt;m,√yuqw,√yuqw=t=m,burned PASS,
5996,huy’qwuthut,həy̓qʷəθət,h;¥qø;ƒ;t,√yuqw,√yuqw=that=PROG,feverish,
5997,hwyuqwus,xʷyəqʷəs,xøy;qø;s,√yuqw,hw=√yuqw=as,burn face,
5998,hwyuqwust,xʷyəqʷəst,xøy;qø;st,√yuqw,hw=√yuqw=as=t,burn the face of someone,
5999,shhwuy’qwelu,šxʷəy̓qʷelə,ßxø;¥qøel;,√yuqw,shhw=√yuqw=elu,fireplace; cooking pit,
6000,yuqwul’tsup,yəqʷəl̓cəp,y;qø;¬c;p,√yuqw,√yuqw=ul’tsup,"make the fire, stoke the fire",
6001,huy’qwul’tsup,həy̓qʷəl̓cəp,h;¥qø;¬c;p,√yuqw,√yuqw=ul’tsup=PROG,making the fire,
6002,hwuy’qwul’ulh,xʷəy̓qʷəl̓əɫ,xø;¥qø;¬;®,√yuqw,hw=√yuqw=ul’ulh=PROG,"ferry, train, anything with a steam engine",
6003,yuqwuw’t-hwt,yəqʷəw̓t-xʷt,y;qø;Σt-xøt,√yuqw,√yuqw=uw’t-hw=t,"burn a house (or beehive, anthill)",
6004,huy’qwuw’t-hwt,həy̓qʷəw̓t-xʷt,h;¥qø;Σt-xøt,√yuqw,√yuqw=uw’t-hw=t=PROG,burning a house or beehive,
6005,yuqwinus,yəqʷinəs,y;qøin;s,√yuqw,√yuqw=inus,heartburn (have heartburn),
6006,huy’qwun’us,həy̓qʷən̓əs,h;¥qø;∫;s,√yuqw,√yuqw=inus=PROG,heartburn (having heartburn),
6007,shyuqwlhnentun,šyəqʷɫnentən,ßy;qø®nent;n,√yuqw,shhw=√yuqw=lhnen=ten,"kindling, fire starter",This can be wood or pitch.
6008,hwyuqwlhnent,xʷyəqʷɫnent,xøy;qø®nent,√yuqw,hw=√yuqw=lhnen=t,feed the fire with kindling,
6009,hwhuy’qwlhnen’t,xʷhəy̓qʷɫnen̓t,xøh;¥qø®ne∫t,√yuqw,hw=√yuqw=lhnen=t=PROG,feeding the fire with kindling,
6010,yuqwulmuhw,yəqʷəlməxʷ,y;qø;lm;xø,√yuqw,√yuqw=al=muhw,burn clothes (of the dead),
6011,yuqwulmuhw,yəqʷəlməxʷ,y;qø;lm;xø,√yuqw,√yuqw=al=muhw,burn slash,
6012,huy’qwul’muhw,həy̓qʷəlm̓əxʷ,h;¥qø;lµ;xø,√yuqw,√yuqw=al=muhw,burning clothes (of the dead),
6013,huy’qwul’muhw,həy̓qʷəlm̓əxʷ,h;¥qø;lµ;xø,√yuqw,√yuqw=al=muhw,burning slash,
6014,huy’qwoon’,həy̓qʷu:n̓,h;¥qøu:∫,√yuqw,√yuqw=oon’=PROG,"lamp (indoor), car headlight",
6015,ts-huy’qwoon’,c-həy̓qʷu:n̓,c-h;¥qøu:∫,√yuqw,ts=√yuqw=oon’=PROG,lights: have lights,
6016,yuse’lu,yəsel̓ə,y;se¬;,√yuse’lu,√yuse’lu,two,
6017,hwyusyey’sul’u,xʷyəsyey̓səl̓ə,xøy;sye¥s;¬;,√yusyey’sul’u,hw=√yusyey’sul’u,canoe: two-person canoe,
6018,yusul’alus,yəsəl̓aləs,y;s;¬al;s,√yuse’lu,√yuse’lu=alus,"two stiches, when counting the width of a pattern, as in knitting",
6019,yusul’alusstuhw,yəsəl̓aləsstəxʷ,y;s;¬al;sst;xø,√yuse’lu,√yuse’lu=alus=stuhw,two stitches: do two,
6020,yusa’lus,yəsal̓əs,y;sa¬;s,√yuse’lu,√yuse’lu=as,"two dollars, two round objects, two months",
6021,yey’sul’u,yey̓səl̓ə,ye¥s;¬;,√yuse’lu,√yuse’lu=elu,two people," Reduplication is used with the numbers one nuts'a' na'nuts'a'. and two to count people. For higher numbers the lexical suffix -elu is used: lhihw three, lhhwelu, three people."
6022,yusyey’sul’u,yəsyey̓səl̓ə,y;sye¥s;¬;,√yuse’lu,√yuse’lu=elu=RDP,pairs of people (i n sequence),
6023,yuse’luqun,yəsel̓əqən,y;se¬;q;n,√yuse’lu,√yuse’lu=equn,two containers,
6024,yuse’luw’t-hw,yəsel̓əw̓t-xʷ,y;se¬;Σt-xø,√yuse’lu,√yuse’lu=ew’t-hw,two houses,
6025,syuse’ullhp,syəseʔəlɫp,sy;se÷;l®p,√yuse’lu,s=√yuse’lu=ulhp,two trees,Also syuse'lu'ulhp.
6026,yusuleylh,yəsəleyɫ,y;s;ley®,√yuse’lu,√yuse’lu=uylh,two children,
6027,yey’sul’ey’lh,yey̓səl̓eyl̓h,ye¥s;¬ey¬h,√yuse’lu,√yuse’lu=elu=uylh,have two children,
6028,yusa’lumat,yəsal̓əmat,y;sa¬;mat,√yuse’lu,√yuse’lu=mat,two teams or groups,
6029,yuse’lunuts,yəsel̓ənəc,y;se¬;n;c,√yuse’lu,√yuse’lu=nets,two root plants,
6030,t-hwyuse’lu,t-xʷyəsel̓ə,t-xøy;se¬;,√yuse’lu,t-hw=√yuse’lu,two left,
6031,t-hwyusul’alusstuhw,t-xʷyəsəl̓aləsstəxʷ,t-xøy;s;¬al;sst;xø,√yuse’lu,t-hw=√yuse’lu=alus=stuhw,two more stitches: do two more,
6032,shhwii’t’a’qwum’,šxʷi:ʔt̓aʔqʷəm̓,ßxøi:÷†a÷qø;µ,√yut’,shhw=√yut’=a’qw=m=DUR,shampoo (noun),The root may be √yut'qw'.
6033,yut’a’qwt,yət̓aʔqʷt,y;†a÷qøt,√yut’,√yut’=a’qw=t,scrub someone's head,
6034,huy’t’a’qwt,həy̓t̓aʔqʷt,h;¥†a÷qøt,√yut’,√yut’=a’qw=t=PROG,"scrubbing someone's head, shampooing",
6035,yut’a’qwum,yət̓aʔqʷəm,y;†a÷qø;m,√yut’,√yut’=a’qw=m,"shampoo, scrub your head",
6036,hi’t’a’qwum’,hiʔt̓aʔqʷəm̓,hi÷†a÷qø;µ,√yut’,√yut’=a’qw=m=DUR,"shampooing, washing your hair",
6037,yut’qw’thut,yət̓q̓ʷθət,y;†œøƒ;t,√yut’qw’,√yut’qw’=that,scrub yourself (with a facecloth),
6038,shyat’qw’usum’,šyat̓q̓ʷəsəm̓,ßya†œø;s;µ,√yut’qw’,shhw=√yut’qw’=as=m=PROG,facecloth,
6039,yut’a’qwum,yət̓aʔqʷəm,y;†a÷qø;m,√yut’qw’,√yut’qw’=a’qw=m,rub your scalp,Truncation. See also yut'qw'a'qwum.
6040,yut’qw’a’qwum,yət̓q̓ʷaʔqʷəm,y;†œøa÷qø;m,√yut’qw’,√yut’qw’=a’qw=m,rub your scalp,See also yut'a'qwum.
6041,hii’t’a’qwum’,hi:ʔt̓aʔqʷəm̓,hi:÷†a÷qø;µ,√yut’qw’,√yut’qw’=a’qw=m=DUR,rubbing your scalp,
6042,yut’qw’utssum,yət̓q̓ʷəcsəm,y;†œø;cs;m,√yut’qw’,√yut’qw’=tsus=m,"scrub one's hands (with a towel, in a basin)",
6043,syuth,syəθ,sy;ƒ,√yuth,s=√yuth,"history, lore",See also suw'en' [√yuw'en'].
6044,yuthus,yəθəs,y;ƒ;s,√yuth,√yuth=as,tell,
6045,yuthust,yəθəst,y;ƒ;st,√yuth,√yuth=as=t,tell him/her,
6046,huy’thust,həy̓θəst,h;¥ƒ;st,√yuth,√yuth=as=t,telling,
6047,hi’huy’thust,hiʔhəy̓θəst,hi÷h;¥ƒ;st,√yuth,√yuth=as=t=DIM=PROG,talking to DIM,
6048,yuthustal’hw,yəθəstal̓xʷ,y;ƒ;sta¬xø,√yuth,√yuth=as=t=al’hw,tell us,
6049,huy’thustal’hw,həy̓θəstal̓xʷ,h;¥ƒ;sta¬xø,√yuth,√yuth=as=t=al’hw=PROG,telling us,
6050,shuy’thustha’mu,šəy̓θəsθam̓ə,ß;¥ƒ;sƒaµ;,√yuth,s=√yuth=as=t=samu=PROG,telling you about (who I was telling you about),
6051,yuthustum,yəθəstəm,y;ƒ;st;m,√yuth,√yuth=as=t=m,tell PASS,
6052,huy’thustum’,həy̓θəstəm̓,h;¥ƒ;st;µ,√yuth,√yuth=as=t=m=PROG,telling PASS,
6053,huy’thuste’wut,həy̓θəstew̓ət,h;¥ƒ;steΣ;t,√yuth,√yuth=as=t=ewut=PROG,telling PASS,
6054,yuthusthaam,yəθəsθa:m,y;ƒ;sƒa:m,√yuth,√yuth=as=t=samum,tell you PASS,
6055,huy’theen’tum’,həy̓θe:n̓təm̓,h;¥ƒe:∫t;µ,√yuth,√yuth=en’=t=m=PROG,talking about PASS,
6056,syuwun,syəwən,sy;w;n,√yuwun,s=√yuwun,"song: power song, Indian dancer's song",Possibly related to √yuw'en'.
6057,tsyuwun,cyəwən,cy;w;n,√yuwun,ts=√yuwun,dance an Indian dance,
6058,tsyuwun,cyəwən,cy;w;n,√yuwun,ts=√yuwun,chant (verb),
6059,ts-huy’wun’,c-həyw̓ən̓,c-h;yΣ;∫,√yuwun,ts=√yuwun=PROG,chanting,
6060,yuw’en’,yəw̓en̓,y;Σe∫,√yuw’en’,√yuw’en’,"first, in front",
6061,syuw’a’numa’,syəw̓an̓əmaʔ,sy;Σa∫;ma÷,√yuw’en’,s=√yuw’en’=ama’,aboriginal,
6062,syuw’en’,syəw̓en̓,sy;Σe∫,√yuw’en’,s=√yuw’en’,"traditions, history",See also syuth [√yuth].
6063,yuluw’en’,yələw̓en̓,y;l;Σe∫,√yuw’en’,√yuw’en’=PL,ahead PL,
6064,yuw’an’thut,yəw̓an̓θət,y;Σa∫ƒ;t,√yuw’en’,√yuw’en’=that,ahead (go ahead of),
6065,huy’wun’thut,həyw̓ən̓θət,h;yΣ;∫ƒ;t,√yuw’en’,√yuw’en’=that=PROG,ahead: going ahead,
6066,huy’uy’wun’thut,həy̓əyw̓ən̓θət,h;¥;yΣ;∫ƒ;t,√yuw’en’,√yuw’en’=that=PROG=PL,ahead: going ahead PL,
6067,yuw’a’nus,yəw̓an̓əs,y;Σa∫;s,√yuw’en’,√yuw’en’=as,front: be up in front in a vehicle,
6068,siw’a’nus,siw̓an̓əs,siΣa∫;s,√yuw’en’,s=√yuw’en=as,front: be in the front in a vehicle or in a group when walking,
6069,yuhw,yəxʷ,y;xø,√yuhw,√yuhw,"must have, perhaps","Dubitive particle, indicating the speaker is not completely sure. A particle occuring after the first word in the clause."
6070,yuxtse’t,yəx̌ceʔt,y;≈ce÷t,√yuxtse’,√yuxtse’=t,bequeath,
6071,syuxtse’,syəx̌ceʔ,sy;≈ce÷,√yuxtse’,s=√yuxtse’,gift (for ex birthday gift),A more common word is s'ehwe'.
6072,yuxw,yəx̌ʷ,y;≈ø,√yuxw,√yuxw,"loosen: come loose, undone",
6073,suy’ixw,səy̓ix̌ʷ,s;¥i≈ø,√yuxw,s=√yuxw=STA,"loosened, undone, untied; open (season)",
6074,yuxwut,yəx̌ʷət,y;≈ø;t,√yuxw,√yuxw=t,"untie it, undo it (unwind)",
6075,hi’huy’xwut,hiʔhəy̓x̌ʷət,hi÷h;¥≈ø;t,√yuxw,√yuxw=t=DIM=PROG,"untying it, undoing it DIM",
6076,huli’huy’xwut,həliʔhəy̓x̌ʷət,h;li÷h;¥≈ø;t,√yuxw,√yuxw=t=DIM=PROG=PL,"untying them, undoing them PL",
6077,hwyuxw,xʷyəx̌ʷ,xøy;≈ø,√yuxw,hw=√yuxw,open: come open,
6078,shhwu’ixw,šxʷəʔix̌ʷ,ßxø;÷i≈ø,√yuxw,s=hw=√yuxw=STA,open (door),
6079,hwyuxwut,xʷyəx̌ʷət,xøy;≈ø;t,√yuxw,hw=√yuxw=t,open it (door),
6080,hwyuxwalust,xʷyəx̌ʷaləst,xøy;≈øal;st,√yuxw,hw=√yuxw=alus=t,clean out (to let water flow down a creek),
6081,yuxwalust,yəx̌ʷaləst,y;≈øal;st,√yuxw,√yuxw=alus=t,"undo, rip out stitches (for ex in knitting)",
6082,hwyuxwaythut,xʷyəx̌ʷayθət,xøy;≈øayƒ;t,√yuxw,hw=√yuxw=aythun=t,"open it, unscrew it (container)",
6083,yuxwutsun,yəx̌ʷəcən,y;≈ø;c;n,√yuxw,√yuxw=utsun,open up (come untied),
6084,yuxwutst,yəx̌ʷəct,y;≈ø;ct,√yuxw,√yuxw=uts=t,open it up (a bundle),
6085,suy’xwshen’,səy̓x̌ʷšen̓,s;¥≈øße∫,√yuxw,s=√yuxw=shen=STA,released (handbreak),
6086,yuxwshut,yəx̌ʷšət,y;≈øß;t,√yuxw,√yuxw=shen=t,release the handbreak,
6087,yuxwula’us,yəx̌ʷəlaʔəs,y;≈ø;la÷;s,√yuxwula’us,√yuxwula’us,village on east side of Kuper Island near Telegraph Harbour ,Possibly related to yuxwule' √y uxwule'-as.
6088,yuxwule’,yəx̌ʷəleʔ,y;≈ø;le÷,√yuxwule’,√yuxwule’,eagle: bald eagle,
6089,huyixwule’,həyix̌ʷəleʔ,h;yi≈ø;le÷,√yuxwule’,√yuxwule’=PL,eagles,
